id,legend,series,card_name,serial_number,rarity,card_value,image_key,lore
RLM-0037,Blaze Mortem,Ghost Storm,Blaze Mortem - Ghost Storm,SN-007/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Ghost Storm series.
RLM-0038,Blaze Mortem,Ghost Storm,Blaze Mortem - Ghost Storm,SN-008/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Ghost Storm series.
RLM-0039,Blaze Mortem,Ghost Storm,Blaze Mortem - Ghost Storm,SN-009/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Ghost Storm series.
RLM-0040,Blaze Mortem,Ghost Storm,Blaze Mortem - Ghost Storm,SN-010/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Ghost Storm series.
RLM-0041,Blaze Mortem,Realm Relics,Blaze Mortem - Realm Relics,SN-001/010,Legendary,6250,blaze,A relic tied to Blaze Mortem from the Realm Relics series.
RLM-0042,Blaze Mortem,Realm Relics,Blaze Mortem - Realm Relics,SN-002/010,Legendary,5250,blaze,A relic tied to Blaze Mortem from the Realm Relics series.
RLM-0043,Blaze Mortem,Realm Relics,Blaze Mortem - Realm Relics,SN-003/010,Epic,4250,blaze,A relic tied to Blaze Mortem from the Realm Relics series.
RLM-0044,Blaze Mortem,Realm Relics,Blaze Mortem - Realm Relics,SN-004/010,Epic,3250,blaze,A relic tied to Blaze Mortem from the Realm Relics series.
RLM-0045,Blaze Mortem,Realm Relics,Blaze Mortem - Realm Relics,SN-005/010,Rare,2250,blaze,A relic tied to Blaze Mortem from the Realm Relics series.
RLM-0046,Blaze Mortem,Realm Relics,Blaze Mortem - Realm Relics,SN-006/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Realm Relics series.
RLM-0047,Blaze Mortem,Realm Relics,Blaze Mortem - Realm Relics,SN-007/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Realm Relics series.
RLM-0048,Blaze Mortem,Realm Relics,Blaze Mortem - Realm Relics,SN-008/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Realm Relics series.
RLM-0049,Blaze Mortem,Realm Relics,Blaze Mortem - Realm Relics,SN-009/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Realm Relics series.
RLM-0050,Blaze Mortem,Realm Relics,Blaze Mortem - Realm Relics,SN-010/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Realm Relics series.
RLM-0051,Blaze Mortem,Hall of Lore,Blaze Mortem - Hall of Lore,SN-001/010,Legendary,6250,blaze,A relic tied to Blaze Mortem from the Hall of Lore series.
RLM-0052,Blaze Mortem,Hall of Lore,Blaze Mortem - Hall of Lore,SN-002/010,Legendary,5250,blaze,A relic tied to Blaze Mortem from the Hall of Lore series.
RLM-0053,Blaze Mortem,Hall of Lore,Blaze Mortem - Hall of Lore,SN-003/010,Epic,4250,blaze,A relic tied to Blaze Mortem from the Hall of Lore series.
RLM-0054,Blaze Mortem,Hall of Lore,Blaze Mortem - Hall of Lore,SN-004/010,Epic,3250,blaze,A relic tied to Blaze Mortem from the Hall of Lore series.
RLM-0055,Blaze Mortem,Hall of Lore,Blaze Mortem - Hall of Lore,SN-005/010,Rare,2250,blaze,A relic tied to Blaze Mortem from the Hall of Lore series.
RLM-0056,Blaze Mortem,Hall of Lore,Blaze Mortem - Hall of Lore,SN-006/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Hall of Lore series.
RLM-0057,Blaze Mortem,Hall of Lore,Blaze Mortem - Hall of Lore,SN-007/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Hall of Lore series.
RLM-0058,Blaze Mortem,Hall of Lore,Blaze Mortem - Hall of Lore,SN-008/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Hall of Lore series.
RLM-0059,Blaze Mortem,Hall of Lore,Blaze Mortem - Hall of Lore,SN-009/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Hall of Lore series.
RLM-0060,Blaze Mortem,Hall of Lore,Blaze Mortem - Hall of Lore,SN-010/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Hall of Lore series.
RLM-0061,Blaze Mortem,Forgeborn,Blaze Mortem - Forgeborn,SN-001/010,Mythic,6500,blaze,A relic tied to Blaze Mortem from the Forgeborn series.
RLM-0062,Blaze Mortem,Forgeborn,Blaze Mortem - Forgeborn,SN-002/010,Legendary,5500,blaze,A relic tied to Blaze Mortem from the Forgeborn series.
RLM-0063,Blaze Mortem,Forgeborn,Blaze Mortem - Forgeborn,SN-003/010,Legendary,4500,blaze,A relic tied to Blaze Mortem from the Forgeborn series.
RLM-0064,Blaze Mortem,Forgeborn,Blaze Mortem - Forgeborn,SN-004/010,Epic,3500,blaze,A relic tied to Blaze Mortem from the Forgeborn series.
RLM-0065,Blaze Mortem,Forgeborn,Blaze Mortem - Forgeborn,SN-005/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Forgeborn series.
RLM-0066,Blaze Mortem,Forgeborn,Blaze Mortem - Forgeborn,SN-006/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Forgeborn series.
RLM-0067,Blaze Mortem,Forgeborn,Blaze Mortem - Forgeborn,SN-007/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Forgeborn series.
RLM-0068,Blaze Mortem,Forgeborn,Blaze Mortem - Forgeborn,SN-008/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Forgeborn series.
RLM-0069,Blaze Mortem,Forgeborn,Blaze Mortem - Forgeborn,SN-009/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Forgeborn series.
RLM-0070,Blaze Mortem,Forgeborn,Blaze Mortem - Forgeborn,SN-010/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Forgeborn series.
RLM-0071,Blaze Mortem,Cemetery Echoes,Blaze Mortem - Cemetery Echoes,SN-001/010,Legendary,6250,blaze,A relic tied to Blaze Mortem from the Cemetery Echoes series.
RLM-0072,Blaze Mortem,Cemetery Echoes,Blaze Mortem - Cemetery Echoes,SN-002/010,Legendary,5250,blaze,A relic tied to Blaze Mortem from the Cemetery Echoes series.
RLM-0073,Blaze Mortem,Cemetery Echoes,Blaze Mortem - Cemetery Echoes,SN-003/010,Epic,4250,blaze,A relic tied to Blaze Mortem from the Cemetery Echoes series.
RLM-0074,Blaze Mortem,Cemetery Echoes,Blaze Mortem - Cemetery Echoes,SN-004/010,Epic,3250,blaze,A relic tied to Blaze Mortem from the Cemetery Echoes series.
RLM-0075,Blaze Mortem,Cemetery Echoes,Blaze Mortem - Cemetery Echoes,SN-005/010,Rare,2250,blaze,A relic tied to Blaze Mortem from the Cemetery Echoes series.
RLM-0076,Blaze Mortem,Cemetery Echoes,Blaze Mortem - Cemetery Echoes,SN-006/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Cemetery Echoes series.
RLM-0077,Blaze Mortem,Cemetery Echoes,Blaze Mortem - Cemetery Echoes,SN-007/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Cemetery Echoes series.
RLM-0078,Blaze Mortem,Cemetery Echoes,Blaze Mortem - Cemetery Echoes,SN-008/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Cemetery Echoes series.
RLM-0079,Blaze Mortem,Cemetery Echoes,Blaze Mortem - Cemetery Echoes,SN-009/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Cemetery Echoes series.
RLM-0080,Blaze Mortem,Cemetery Echoes,Blaze Mortem - Cemetery Echoes,SN-010/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Cemetery Echoes series.
RLM-0081,Blaze Mortem,Kings & Queens,Blaze Mortem - Kings & Queens,SN-001/010,Mythic,7000,blaze,A relic tied to Blaze Mortem from the Kings & Queens series.
RLM-0082,Blaze Mortem,Kings & Queens,Blaze Mortem - Kings & Queens,SN-002/010,Legendary,6000,blaze,A relic tied to Blaze Mortem from the Kings & Queens series.
RLM-0083,Blaze Mortem,Kings & Queens,Blaze Mortem - Kings & Queens,SN-003/010,Legendary,5000,blaze,A relic tied to Blaze Mortem from the Kings & Queens series.
RLM-0084,Blaze Mortem,Kings & Queens,Blaze Mortem - Kings & Queens,SN-004/010,Epic,4000,blaze,A relic tied to Blaze Mortem from the Kings & Queens series.
RLM-0085,Blaze Mortem,Kings & Queens,Blaze Mortem - Kings & Queens,SN-005/010,Epic,3000,blaze,A relic tied to Blaze Mortem from the Kings & Queens series.
RLM-0086,Blaze Mortem,Kings & Queens,Blaze Mortem - Kings & Queens,SN-006/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Kings & Queens series.
RLM-0087,Blaze Mortem,Kings & Queens,Blaze Mortem - Kings & Queens,SN-007/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Kings & Queens series.
RLM-0088,Blaze Mortem,Kings & Queens,Blaze Mortem - Kings & Queens,SN-008/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Kings & Queens series.
RLM-0089,Blaze Mortem,Kings & Queens,Blaze Mortem - Kings & Queens,SN-009/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Kings & Queens series.
RLM-0090,Blaze Mortem,Kings & Queens,Blaze Mortem - Kings & Queens,SN-010/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Kings & Queens series.
RLM-0091,Blaze Mortem,Ancient Myths,Blaze Mortem - Ancient Myths,SN-001/010,Mythic,7000,blaze,A relic tied to Blaze Mortem from the Ancient Myths series.
RLM-0092,Blaze Mortem,Ancient Myths,Blaze Mortem - Ancient Myths,SN-002/010,Legendary,6000,blaze,A relic tied to Blaze Mortem from the Ancient Myths series.
RLM-0093,Blaze Mortem,Ancient Myths,Blaze Mortem - Ancient Myths,SN-003/010,Legendary,5000,blaze,A relic tied to Blaze Mortem from the Ancient Myths series.
RLM-0094,Blaze Mortem,Ancient Myths,Blaze Mortem - Ancient Myths,SN-004/010,Epic,4000,blaze,A relic tied to Blaze Mortem from the Ancient Myths series.
RLM-0095,Blaze Mortem,Ancient Myths,Blaze Mortem - Ancient Myths,SN-005/010,Epic,3000,blaze,A relic tied to Blaze Mortem from the Ancient Myths series.
RLM-0096,Blaze Mortem,Ancient Myths,Blaze Mortem - Ancient Myths,SN-006/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Ancient Myths series.
RLM-0097,Blaze Mortem,Ancient Myths,Blaze Mortem - Ancient Myths,SN-007/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Ancient Myths series.
RLM-0098,Blaze Mortem,Ancient Myths,Blaze Mortem - Ancient Myths,SN-008/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Ancient Myths series.
RLM-0099,Blaze Mortem,Ancient Myths,Blaze Mortem - Ancient Myths,SN-009/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Ancient Myths series.
RLM-0100,Blaze Mortem,Ancient Myths,Blaze Mortem - Ancient Myths,SN-010/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Ancient Myths series.
RLM-0101,The Ghost,Infernal Heat,The Ghost - Infernal Heat,SN-001/010,Legendary,6250,ghost,A relic tied to The Ghost from the Infernal Heat series.
RLM-0102,The Ghost,Infernal Heat,The Ghost - Infernal Heat,SN-002/010,Legendary,5250,ghost,A relic tied to The Ghost from the Infernal Heat series.
RLM-0103,The Ghost,Infernal Heat,The Ghost - Infernal Heat,SN-003/010,Epic,4250,ghost,A relic tied to The Ghost from the Infernal Heat series.
RLM-0104,The Ghost,Infernal Heat,The Ghost - Infernal Heat,SN-004/010,Epic,3250,ghost,A relic tied to The Ghost from the Infernal Heat series.
RLM-0105,The Ghost,Infernal Heat,The Ghost - Infernal Heat,SN-005/010,Rare,2250,ghost,A relic tied to The Ghost from the Infernal Heat series.
RLM-0106,The Ghost,Infernal Heat,The Ghost - Infernal Heat,SN-006/010,Rare,1750,ghost,A relic tied to The Ghost from the Infernal Heat series.
RLM-0107,The Ghost,Infernal Heat,The Ghost - Infernal Heat,SN-007/010,Rare,1750,ghost,A relic tied to The Ghost from the Infernal Heat series.
RLM-0108,The Ghost,Infernal Heat,The Ghost - Infernal Heat,SN-008/010,Rare,1750,ghost,A relic tied to The Ghost from the Infernal Heat series.
RLM-0109,The Ghost,Infernal Heat,The Ghost - Infernal Heat,SN-009/010,Rare,1750,ghost,A relic tied to The Ghost from the Infernal Heat series.
RLM-0110,The Ghost,Infernal Heat,The Ghost - Infernal Heat,SN-010/010,Rare,1750,ghost,A relic tied to The Ghost from the Infernal Heat series.
RLM-0111,The Ghost,Forgotten Legends,The Ghost - Forgotten Legends,SN-001/010,Mythic,6500,ghost,A relic tied to The Ghost from the Forgotten Legends series.
RLM-0112,The Ghost,Forgotten Legends,The Ghost - Forgotten Legends,SN-002/010,Legendary,5500,ghost,A relic tied to The Ghost from the Forgotten Legends series.
RLM-0113,The Ghost,Forgotten Legends,The Ghost - Forgotten Legends,SN-003/010,Legendary,4500,ghost,A relic tied to The Ghost from the Forgotten Legends series.
RLM-0114,The Ghost,Forgotten Legends,The Ghost - Forgotten Legends,SN-004/010,Epic,3500,ghost,A relic tied to The Ghost from the Forgotten Legends series.
RLM-0115,The Ghost,Forgotten Legends,The Ghost - Forgotten Legends,SN-005/010,Epic,2500,ghost,A relic tied to The Ghost from the Forgotten Legends series.
RLM-0116,The Ghost,Forgotten Legends,The Ghost - Forgotten Legends,SN-006/010,Rare,2000,ghost,A relic tied to The Ghost from the Forgotten Legends series.
RLM-0117,The Ghost,Forgotten Legends,The Ghost - Forgotten Legends,SN-007/010,Rare,2000,ghost,A relic tied to The Ghost from the Forgotten Legends series.
RLM-0118,The Ghost,Forgotten Legends,The Ghost - Forgotten Legends,SN-008/010,Rare,2000,ghost,A relic tied to The Ghost from the Forgotten Legends series.
RLM-0119,The Ghost,Forgotten Legends,The Ghost - Forgotten Legends,SN-009/010,Rare,2000,ghost,A relic tied to The Ghost from the Forgotten Legends series.
RLM-0120,The Ghost,Forgotten Legends,The Ghost - Forgotten Legends,SN-010/010,Rare,2000,ghost,A relic tied to The Ghost from the Forgotten Legends series.
RLM-0121,The Ghost,Sentinel's Oath,The Ghost - Sentinel's Oath,SN-001/010,Mythic,6500,ghost,A relic tied to The Ghost from the Sentinel's Oath series.
RLM-0122,The Ghost,Sentinel's Oath,The Ghost - Sentinel's Oath,SN-002/010,Legendary,5500,ghost,A relic tied to The Ghost from the Sentinel's Oath series.
RLM-0123,The Ghost,Sentinel's Oath,The Ghost - Sentinel's Oath,SN-003/010,Legendary,4500,ghost,A relic tied to The Ghost from the Sentinel's Oath series.
RLM-0124,The Ghost,Sentinel's Oath,The Ghost - Sentinel's Oath,SN-004/010,Epic,3500,ghost,A relic tied to The Ghost from the Sentinel's Oath series.
RLM-0125,The Ghost,Sentinel's Oath,The Ghost - Sentinel's Oath,SN-005/010,Epic,2500,ghost,A relic tied to The Ghost from the Sentinel's Oath series.
RLM-0126,The Ghost,Sentinel's Oath,The Ghost - Sentinel's Oath,SN-006/010,Rare,2000,ghost,A relic tied to The Ghost from the Sentinel's Oath series.
RLM-0127,The Ghost,Sentinel's Oath,The Ghost - Sentinel's Oath,SN-007/010,Rare,2000,ghost,A relic tied to The Ghost from the Sentinel's Oath series.
RLM-0128,The Ghost,Sentinel's Oath,The Ghost - Sentinel's Oath,SN-008/010,Rare,2000,ghost,A relic tied to The Ghost from the Sentinel's Oath series.
RLM-0129,The Ghost,Sentinel's Oath,The Ghost - Sentinel's Oath,SN-009/010,Rare,2000,ghost,A relic tied to The Ghost from the Sentinel's Oath series.
RLM-0130,The Ghost,Sentinel's Oath,The Ghost - Sentinel's Oath,SN-010/010,Rare,2000,ghost,A relic tied to The Ghost from the Sentinel's Oath series.
RLM-0131,The Ghost,Ghost Storm,The Ghost - Ghost Storm,SN-001/010,Mythic,7000,ghost,A relic tied to The Ghost from the Ghost Storm series.
RLM-0132,The Ghost,Ghost Storm,The Ghost - Ghost Storm,SN-002/010,Legendary,6000,ghost,A relic tied to The Ghost from the Ghost Storm series.
RLM-0133,The Ghost,Ghost Storm,The Ghost - Ghost Storm,SN-003/010,Legendary,5000,ghost,A relic tied to The Ghost from the Ghost Storm series.
RLM-0134,The Ghost,Ghost Storm,The Ghost - Ghost Storm,SN-004/010,Epic,4000,ghost,A relic tied to The Ghost from the Ghost Storm series.
RLM-0135,The Ghost,Ghost Storm,The Ghost - Ghost Storm,SN-005/010,Epic,3000,ghost,A relic tied to The Ghost from the Ghost Storm series.
RLM-0136,The Ghost,Ghost Storm,The Ghost - Ghost Storm,SN-006/010,Epic,2500,ghost,A relic tied to The Ghost from the Ghost Storm series.
RLM-0137,The Ghost,Ghost Storm,The Ghost - Ghost Storm,SN-007/010,Epic,2500,ghost,A relic tied to The Ghost from the Ghost Storm series.
RLM-0138,The Ghost,Ghost Storm,The Ghost - Ghost Storm,SN-008/010,Epic,2500,ghost,A relic tied to The Ghost from the Ghost Storm series.
RLM-0139,The Ghost,Ghost Storm,The Ghost - Ghost Storm,SN-009/010,Epic,2500,ghost,A relic tied to The Ghost from the Ghost Storm series.
RLM-0140,The Ghost,Ghost Storm,The Ghost - Ghost Storm,SN-010/010,Epic,2500,ghost,A relic tied to The Ghost from the Ghost Storm series.
RLM-0141,The Ghost,Realm Relics,The Ghost - Realm Relics,SN-001/010,Legendary,6250,ghost,A relic tied to The Ghost from the Realm Relics series.
RLM-0142,The Ghost,Realm Relics,The Ghost - Realm Relics,SN-002/010,Legendary,5250,ghost,A relic tied to The Ghost from the Realm Relics series.
RLM-0143,The Ghost,Realm Relics,The Ghost - Realm Relics,SN-003/010,Epic,4250,ghost,A relic tied to The Ghost from the Realm Relics series.
RLM-0144,The Ghost,Realm Relics,The Ghost - Realm Relics,SN-004/010,Epic,3250,ghost,A relic tied to The Ghost from the Realm Relics series.
RLM-0145,The Ghost,Realm Relics,The Ghost - Realm Relics,SN-005/010,Rare,2250,ghost,A relic tied to The Ghost from the Realm Relics series.
RLM-0146,The Ghost,Realm Relics,The Ghost - Realm Relics,SN-006/010,Rare,1750,ghost,A relic tied to The Ghost from the Realm Relics series.
RLM-0147,The Ghost,Realm Relics,The Ghost - Realm Relics,SN-007/010,Rare,1750,ghost,A relic tied to The Ghost from the Realm Relics series.
RLM-0148,The Ghost,Realm Relics,The Ghost - Realm Relics,SN-008/010,Rare,1750,ghost,A relic tied to The Ghost from the Realm Relics series.
RLM-0149,The Ghost,Realm Relics,The Ghost - Realm Relics,SN-009/010,Rare,1750,ghost,A relic tied to The Ghost from the Realm Relics series.
RLM-0150,The Ghost,Realm Relics,The Ghost - Realm Relics,SN-010/010,Rare,1750,ghost,A relic tied to The Ghost from the Realm Relics series.
RLM-0151,The Ghost,Hall of Lore,The Ghost - Hall of Lore,SN-001/010,Legendary,6250,ghost,A relic tied to The Ghost from the Hall of Lore series.
RLM-0152,The Ghost,Hall of Lore,The Ghost - Hall of Lore,SN-002/010,Legendary,5250,ghost,A relic tied to The Ghost from the Hall of Lore series.
RLM-0153,The Ghost,Hall of Lore,The Ghost - Hall of Lore,SN-003/010,Epic,4250,ghost,A relic tied to The Ghost from the Hall of Lore series.
RLM-0154,The Ghost,Hall of Lore,The Ghost - Hall of Lore,SN-004/010,Epic,3250,ghost,A relic tied to The Ghost from the Hall of Lore series.
RLM-0155,The Ghost,Hall of Lore,The Ghost - Hall of Lore,SN-005/010,Rare,2250,ghost,A relic tied to The Ghost from the Hall of Lore series.
RLM-0156,The Ghost,Hall of Lore,The Ghost - Hall of Lore,SN-006/010,Rare,1750,ghost,A relic tied to The Ghost from the Hall of Lore series.
RLM-0157,The Ghost,Hall of Lore,The Ghost - Hall of Lore,SN-007/010,Rare,1750,ghost,A relic tied to The Ghost from the Hall of Lore series.
RLM-0158,The Ghost,Hall of Lore,The Ghost - Hall of Lore,SN-008/010,Rare,1750,ghost,A relic tied to The Ghost from the Hall of Lore series.
RLM-0159,The Ghost,Hall of Lore,The Ghost - Hall of Lore,SN-009/010,Rare,1750,ghost,A relic tied to The Ghost from the Hall of Lore series.
RLM-0160,The Ghost,Hall of Lore,The Ghost - Hall of Lore,SN-010/010,Rare,1750,ghost,A relic tied to The Ghost from the Hall of Lore series.
RLM-0161,The Ghost,Forgeborn,The Ghost - Forgeborn,SN-001/010,Mythic,6500,ghost,A relic tied to The Ghost from the Forgeborn series.
RLM-0162,The Ghost,Forgeborn,The Ghost - Forgeborn,SN-002/010,Legendary,5500,ghost,A relic tied to The Ghost from the Forgeborn series.
RLM-0163,The Ghost,Forgeborn,The Ghost - Forgeborn,SN-003/010,Legendary,4500,ghost,A relic tied to The Ghost from the Forgeborn series.
RLM-0164,The Ghost,Forgeborn,The Ghost - Forgeborn,SN-004/010,Epic,3500,ghost,A relic tied to The Ghost from the Forgeborn series.
RLM-0165,The Ghost,Forgeborn,The Ghost - Forgeborn,SN-005/010,Epic,2500,ghost,A relic tied to The Ghost from the Forgeborn series.
RLM-0166,The Ghost,Forgeborn,The Ghost - Forgeborn,SN-006/010,Rare,2000,ghost,A relic tied to The Ghost from the Forgeborn series.
RLM-0167,The Ghost,Forgeborn,The Ghost - Forgeborn,SN-007/010,Rare,2000,ghost,A relic tied to The Ghost from the Forgeborn series.
RLM-0168,The Ghost,Forgeborn,The Ghost - Forgeborn,SN-008/010,Rare,2000,ghost,A relic tied to The Ghost from the Forgeborn series.
RLM-0169,The Ghost,Forgeborn,The Ghost - Forgeborn,SN-009/010,Rare,2000,ghost,A relic tied to The Ghost from the Forgeborn series.
