title,realm_category,entry_text,is_active
Golden Age Record 17,Golden Age,"During the Golden Age, harvest festivals lasted for weeks and drew travelers from afar. Archive Entry 17.",TRUE
The Cemetery Record 18,The Cemetery,Ancient graves in the Cemetery bear symbols that predate the fall of the Chamber. Archive Entry 18.,TRUE
The Realm Forge Record 19,The Realm Forge,The Forge once produced ceremonial relics in addition to weapons and tools. Archive Entry 19.,TRUE
Ancient Myths Record 20,Ancient Myths,Many myths describe hidden pathways linking distant corners of the Realm. Archive Entry 20.,TRUE
Forgotten King's Chamber Record 21,Forgotten King's Chamber,Old records claim the Chamber once hosted seasonal feasts attended by every Original Family. Archive Entry 21.,TRUE
Scrolls of the Lost Scribes Record 22,Scrolls of the Lost Scribes,Fragments suggest the Lost Scribes wrote in a language no longer spoken within the Realm. Archive Entry 22.,TRUE
The Ghost Record 23,The Ghost,Some accounts describe the Ghost as a witness rather than a villain. Archive Entry 23.,TRUE
Blaze Mortem Record 24,Blaze Mortem,Blaze Mortem is said to have walked the Forge long before its fires became legendary. Archive Entry 24.,TRUE
The First Sentinel Record 25,The First Sentinel,The First Sentinel stood watch over roads that no longer exist on modern maps. Archive Entry 25.,TRUE
Original Families Record 26,Original Families,The Original Families settled disputes through councils held beneath the King's banner. Archive Entry 26.,TRUE
Golden Age Record 27,Golden Age,"During the Golden Age, harvest festivals lasted for weeks and drew travelers from afar. Archive Entry 27.",TRUE
The Cemetery Record 28,The Cemetery,Ancient graves in the Cemetery bear symbols that predate the fall of the Chamber. Archive Entry 28.,TRUE
The Realm Forge Record 29,The Realm Forge,The Forge once produced ceremonial relics in addition to weapons and tools. Archive Entry 29.,TRUE
Ancient Myths Record 30,Ancient Myths,Many myths describe hidden pathways linking distant corners of the Realm. Archive Entry 30.,TRUE
Forgotten King's Chamber Record 31,Forgotten King's Chamber,Old records claim the Chamber once hosted seasonal feasts attended by every Original Family. Archive Entry 31.,TRUE
Scrolls of the Lost Scribes Record 32,Scrolls of the Lost Scribes,Fragments suggest the Lost Scribes wrote in a language no longer spoken within the Realm. Archive Entry 32.,TRUE
The Ghost Record 33,The Ghost,Some accounts describe the Ghost as a witness rather than a villain. Archive Entry 33.,TRUE
Blaze Mortem Record 34,Blaze Mortem,Blaze Mortem is said to have walked the Forge long before its fires became legendary. Archive Entry 34.,TRUE
The First Sentinel Record 35,The First Sentinel,The First Sentinel stood watch over roads that no longer exist on modern maps. Archive Entry 35.,TRUE
Original Families Record 36,Original Families,The Original Families settled disputes through councils held beneath the King's banner. Archive Entry 36.,TRUE
Golden Age Record 37,Golden Age,"During the Golden Age, harvest festivals lasted for weeks and drew travelers from afar. Archive Entry 37.",TRUE
The Cemetery Record 38,The Cemetery,Ancient graves in the Cemetery bear symbols that predate the fall of the Chamber. Archive Entry 38.,TRUE
The Realm Forge Record 39,The Realm Forge,The Forge once produced ceremonial relics in addition to weapons and tools. Archive Entry 39.,TRUE
Ancient Myths Record 40,Ancient Myths,Many myths describe hidden pathways linking distant corners of the Realm. Archive Entry 40.,TRUE
Forgotten King's Chamber Record 41,Forgotten King's Chamber,Old records claim the Chamber once hosted seasonal feasts attended by every Original Family. Archive Entry 41.,TRUE
Scrolls of the Lost Scribes Record 42,Scrolls of the Lost Scribes,Fragments suggest the Lost Scribes wrote in a language no longer spoken within the Realm. Archive Entry 42.,TRUE
The Ghost Record 43,The Ghost,Some accounts describe the Ghost as a witness rather than a villain. Archive Entry 43.,TRUE
Blaze Mortem Record 44,Blaze Mortem,Blaze Mortem is said to have walked the Forge long before its fires became legendary. Archive Entry 44.,TRUE
The First Sentinel Record 45,The First Sentinel,The First Sentinel stood watch over roads that no longer exist on modern maps. Archive Entry 45.,TRUE
Original Families Record 46,Original Families,The Original Families settled disputes through councils held beneath the King's banner. Archive Entry 46.,TRUE
Golden Age Record 47,Golden Age,"During the Golden Age, harvest festivals lasted for weeks and drew travelers from afar. Archive Entry 47.",TRUE
The Cemetery Record 48,The Cemetery,Ancient graves in the Cemetery bear symbols that predate the fall of the Chamber. Archive Entry 48.,TRUE
The Realm Forge Record 49,The Realm Forge,The Forge once produced ceremonial relics in addition to weapons and tools. Archive Entry 49.,TRUE
Ancient Myths Record 50,Ancient Myths,Many myths describe hidden pathways linking distant corners of the Realm. Archive Entry 50.,TRUE
Forgotten King's Chamber Record 51,Forgotten King's Chamber,Old records claim the Chamber once hosted seasonal feasts attended by every Original Family. Archive Entry 51.,TRUE
Scrolls of the Lost Scribes Record 52,Scrolls of the Lost Scribes,Fragments suggest the Lost Scribes wrote in a language no longer spoken within the Realm. Archive Entry 52.,TRUE
The Ghost Record 53,The Ghost,Some accounts describe the Ghost as a witness rather than a villain. Archive Entry 53.,TRUE
Blaze Mortem Record 54,Blaze Mortem,Blaze Mortem is said to have walked the Forge long before its fires became legendary. Archive Entry 54.,TRUE
The First Sentinel Record 55,The First Sentinel,The First Sentinel stood watch over roads that no longer exist on modern maps. Archive Entry 55.,TRUE
Original Families Record 56,Original Families,The Original Families settled disputes through councils held beneath the King's banner. Archive Entry 56.,TRUE
Golden Age Record 57,Golden Age,"During the Golden Age, harvest festivals lasted for weeks and drew travelers from afar. Archive Entry 57.",TRUE
The Cemetery Record 58,The Cemetery,Ancient graves in the Cemetery bear symbols that predate the fall of the Chamber. Archive Entry 58.,TRUE
The Realm Forge Record 59,The Realm Forge,The Forge once produced ceremonial relics in addition to weapons and tools. Archive Entry 59.,TRUE
Ancient Myths Record 60,Ancient Myths,Many myths describe hidden pathways linking distant corners of the Realm. Archive Entry 60.,TRUE
Forgotten King's Chamber Record 61,Forgotten King's Chamber,Old records claim the Chamber once hosted seasonal feasts attended by every Original Family. Archive Entry 61.,TRUE
Scrolls of the Lost Scribes Record 62,Scrolls of the Lost Scribes,Fragments suggest the Lost Scribes wrote in a language no longer spoken within the Realm. Archive Entry 62.,TRUE
The Ghost Record 63,The Ghost,Some accounts describe the Ghost as a witness rather than a villain. Archive Entry 63.,TRUE
Blaze Mortem Record 64,Blaze Mortem,Blaze Mortem is said to have walked the Forge long before its fires became legendary. Archive Entry 64.,TRUE
The First Sentinel Record 65,The First Sentinel,The First Sentinel stood watch over roads that no longer exist on modern maps. Archive Entry 65.,TRUE
Original Families Record 66,Original Families,The Original Families settled disputes through councils held beneath the King's banner. Archive Entry 66.,TRUE
Golden Age Record 67,Golden Age,"During the Golden Age, harvest festivals lasted for weeks and drew travelers from afar. Archive Entry 67.",TRUE
The Cemetery Record 68,The Cemetery,Ancient graves in the Cemetery bear symbols that predate the fall of the Chamber. Archive Entry 68.,TRUE
The Realm Forge Record 69,The Realm Forge,The Forge once produced ceremonial relics in addition to weapons and tools. Archive Entry 69.,TRUE
Ancient Myths Record 70,Ancient Myths,Many myths describe hidden pathways linking distant corners of the Realm. Archive Entry 70.,TRUE
Forgotten King's Chamber Record 71,Forgotten King's Chamber,Old records claim the Chamber once hosted seasonal feasts attended by every Original Family. Archive Entry 71.,TRUE
Scrolls of the Lost Scribes Record 72,Scrolls of the Lost Scribes,Fragments suggest the Lost Scribes wrote in a language no longer spoken within the Realm. Archive Entry 72.,TRUE
The Ghost Record 73,The Ghost,Some accounts describe the Ghost as a witness rather than a villain. Archive Entry 73.,TRUE
Blaze Mortem Record 74,Blaze Mortem,Blaze Mortem is said to have walked the Forge long before its fires became legendary. Archive Entry 74.,TRUE
The First Sentinel Record 75,The First Sentinel,The First Sentinel stood watch over roads that no longer exist on modern maps. Archive Entry 75.,TRUE
Original Families Record 76,Original Families,The Original Families settled disputes through councils held beneath the King's banner. Archive Entry 76.,TRUE
Golden Age Record 77,Golden Age,"During the Golden Age, harvest festivals lasted for weeks and drew travelers from afar. Archive Entry 77.",TRUE
The Cemetery Record 78,The Cemetery,Ancient graves in the Cemetery bear symbols that predate the fall of the Chamber. Archive Entry 78.,TRUE
The Realm Forge Record 79,The Realm Forge,The Forge once produced ceremonial relics in addition to weapons and tools. Archive Entry 79.,TRUE
Ancient Myths Record 80,Ancient Myths,Many myths describe hidden pathways linking distant corners of the Realm. Archive Entry 80.,TRUE
Forgotten King's Chamber Record 81,Forgotten King's Chamber,Old records claim the Chamber once hosted seasonal feasts attended by every Original Family. Archive Entry 81.,TRUE
Scrolls of the Lost Scribes Record 82,Scrolls of the Lost Scribes,Fragments suggest the Lost Scribes wrote in a language no longer spoken within the Realm. Archive Entry 82.,TRUE
The Ghost Record 83,The Ghost,Some accounts describe the Ghost as a witness rather than a villain. Archive Entry 83.,TRUE
Blaze Mortem Record 84,Blaze Mortem,Blaze Mortem is said to have walked the Forge long before its fires became legendary. Archive Entry 84.,TRUE
The First Sentinel Record 85,The First Sentinel,The First Sentinel stood watch over roads that no longer exist on modern maps. Archive Entry 85.,TRUE
Original Families Record 86,Original Families,The Original Families settled disputes through councils held beneath the King's banner. Archive Entry 86.,TRUE
Golden Age Record 87,Golden Age,"During the Golden Age, harvest festivals lasted for weeks and drew travelers from afar. Archive Entry 87.",TRUE
The Cemetery Record 88,The Cemetery,Ancient graves in the Cemetery bear symbols that predate the fall of the Chamber. Archive Entry 88.,TRUE
The Realm Forge Record 89,The Realm Forge,The Forge once produced ceremonial relics in addition to weapons and tools. Archive Entry 89.,TRUE
Ancient Myths Record 90,Ancient Myths,Many myths describe hidden pathways linking distant corners of the Realm. Archive Entry 90.,TRUE
Forgotten King's Chamber Record 91,Forgotten King's Chamber,Old records claim the Chamber once hosted seasonal feasts attended by every Original Family. Archive Entry 91.,TRUE
Scrolls of the Lost Scribes Record 92,Scrolls of the Lost Scribes,Fragments suggest the Lost Scribes wrote in a language no longer spoken within the Realm. Archive Entry 92.,TRUE
The Ghost Record 93,The Ghost,Some accounts describe the Ghost as a witness rather than a villain. Archive Entry 93.,TRUE
Blaze Mortem Record 94,Blaze Mortem,Blaze Mortem is said to have walked the Forge long before its fires became legendary. Archive Entry 94.,TRUE
The First Sentinel Record 95,The First Sentinel,The First Sentinel stood watch over roads that no longer exist on modern maps. Archive Entry 95.,TRUE
Original Families Record 96,Original Families,The Original Families settled disputes through councils held beneath the King's banner. Archive Entry 96.,TRUE
Golden Age Record 97,Golden Age,"During the Golden Age, harvest festivals lasted for weeks and drew travelers from afar. Archive Entry 97.",TRUE
The Cemetery Record 98,The Cemetery,Ancient graves in the Cemetery bear symbols that predate the fall of the Chamber. Archive Entry 98.,TRUE
The Realm Forge Record 99,The Realm Forge,The Forge once produced ceremonial relics in addition to weapons and tools. Archive Entry 99.,TRUE
Ancient Myths Record 100,Ancient Myths,Many myths describe hidden pathways linking distant corners of the Realm. Archive Entry 100.,TRUE
