title,realm_category,entry_text,is_active
Clue Fragment 34,Ancient Symbols,Three crowns point toward a place no map remembers. Fragment 34.,TRUE
Clue Fragment 35,Ravens,"The key was hidden, not lost. Fragment 35.",TRUE
Clue Fragment 36,Crowns,Moonlight reveals markings unseen by day. Fragment 36.,TRUE
Clue Fragment 37,Keys,The Sentinel's gaze never faced the main gate. Fragment 37.,TRUE
Clue Fragment 38,Moons,Count seven steps beyond the broken arch. Fragment 38.,TRUE
Clue Fragment 39,Sentinels,The Forge concealed secrets unrelated to metal or fire. Fragment 39.,TRUE
Clue Fragment 40,The Forge,What was buried was meant to be found later. Fragment 40.,TRUE
Clue Fragment 41,Forgotten King's Chamber,The fourth pillar is mentioned more often than chance would allow. Fragment 41.,TRUE
Clue Fragment 42,Lost Scribes,A missing page refers to a chamber beneath roots and stone. Fragment 42.,TRUE
Clue Fragment 43,Hidden Paths,The raven appears wherever old boundaries intersect. Fragment 43.,TRUE
Clue Fragment 44,Ancient Symbols,Three crowns point toward a place no map remembers. Fragment 44.,TRUE
Clue Fragment 45,Ravens,"The key was hidden, not lost. Fragment 45.",TRUE
Clue Fragment 46,Crowns,Moonlight reveals markings unseen by day. Fragment 46.,TRUE
Clue Fragment 47,Keys,The Sentinel's gaze never faced the main gate. Fragment 47.,TRUE
Clue Fragment 48,Moons,Count seven steps beyond the broken arch. Fragment 48.,TRUE
Clue Fragment 49,Sentinels,The Forge concealed secrets unrelated to metal or fire. Fragment 49.,TRUE
Clue Fragment 50,The Forge,What was buried was meant to be found later. Fragment 50.,TRUE
Clue Fragment 51,Forgotten King's Chamber,The fourth pillar is mentioned more often than chance would allow. Fragment 51.,TRUE
Clue Fragment 52,Lost Scribes,A missing page refers to a chamber beneath roots and stone. Fragment 52.,TRUE
Clue Fragment 53,Hidden Paths,The raven appears wherever old boundaries intersect. Fragment 53.,TRUE
Clue Fragment 54,Ancient Symbols,Three crowns point toward a place no map remembers. Fragment 54.,TRUE
Clue Fragment 55,Ravens,"The key was hidden, not lost. Fragment 55.",TRUE
Clue Fragment 56,Crowns,Moonlight reveals markings unseen by day. Fragment 56.,TRUE
Clue Fragment 57,Keys,The Sentinel's gaze never faced the main gate. Fragment 57.,TRUE
Clue Fragment 58,Moons,Count seven steps beyond the broken arch. Fragment 58.,TRUE
Clue Fragment 59,Sentinels,The Forge concealed secrets unrelated to metal or fire. Fragment 59.,TRUE
Clue Fragment 60,The Forge,What was buried was meant to be found later. Fragment 60.,TRUE
Clue Fragment 61,Forgotten King's Chamber,The fourth pillar is mentioned more often than chance would allow. Fragment 61.,TRUE
Clue Fragment 62,Lost Scribes,A missing page refers to a chamber beneath roots and stone. Fragment 62.,TRUE
Clue Fragment 63,Hidden Paths,The raven appears wherever old boundaries intersect. Fragment 63.,TRUE
Clue Fragment 64,Ancient Symbols,Three crowns point toward a place no map remembers. Fragment 64.,TRUE
Clue Fragment 65,Ravens,"The key was hidden, not lost. Fragment 65.",TRUE
Clue Fragment 66,Crowns,Moonlight reveals markings unseen by day. Fragment 66.,TRUE
Clue Fragment 67,Keys,The Sentinel's gaze never faced the main gate. Fragment 67.,TRUE
Clue Fragment 68,Moons,Count seven steps beyond the broken arch. Fragment 68.,TRUE
Clue Fragment 69,Sentinels,The Forge concealed secrets unrelated to metal or fire. Fragment 69.,TRUE
Clue Fragment 70,The Forge,What was buried was meant to be found later. Fragment 70.,TRUE
Clue Fragment 71,Forgotten King's Chamber,The fourth pillar is mentioned more often than chance would allow. Fragment 71.,TRUE
Clue Fragment 72,Lost Scribes,A missing page refers to a chamber beneath roots and stone. Fragment 72.,TRUE
Clue Fragment 73,Hidden Paths,The raven appears wherever old boundaries intersect. Fragment 73.,TRUE
Clue Fragment 74,Ancient Symbols,Three crowns point toward a place no map remembers. Fragment 74.,TRUE
Clue Fragment 75,Ravens,"The key was hidden, not lost. Fragment 75.",TRUE
Clue Fragment 76,Crowns,Moonlight reveals markings unseen by day. Fragment 76.,TRUE
Clue Fragment 77,Keys,The Sentinel's gaze never faced the main gate. Fragment 77.,TRUE
Clue Fragment 78,Moons,Count seven steps beyond the broken arch. Fragment 78.,TRUE
Clue Fragment 79,Sentinels,The Forge concealed secrets unrelated to metal or fire. Fragment 79.,TRUE
Clue Fragment 80,The Forge,What was buried was meant to be found later. Fragment 80.,TRUE
Clue Fragment 81,Forgotten King's Chamber,The fourth pillar is mentioned more often than chance would allow. Fragment 81.,TRUE
Clue Fragment 82,Lost Scribes,A missing page refers to a chamber beneath roots and stone. Fragment 82.,TRUE
Clue Fragment 83,Hidden Paths,The raven appears wherever old boundaries intersect. Fragment 83.,TRUE
Clue Fragment 84,Ancient Symbols,Three crowns point toward a place no map remembers. Fragment 84.,TRUE
Clue Fragment 85,Ravens,"The key was hidden, not lost. Fragment 85.",TRUE
Clue Fragment 86,Crowns,Moonlight reveals markings unseen by day. Fragment 86.,TRUE
Clue Fragment 87,Keys,The Sentinel's gaze never faced the main gate. Fragment 87.,TRUE
Clue Fragment 88,Moons,Count seven steps beyond the broken arch. Fragment 88.,TRUE
Clue Fragment 89,Sentinels,The Forge concealed secrets unrelated to metal or fire. Fragment 89.,TRUE
Clue Fragment 90,The Forge,What was buried was meant to be found later. Fragment 90.,TRUE
Clue Fragment 91,Forgotten King's Chamber,The fourth pillar is mentioned more often than chance would allow. Fragment 91.,TRUE
Clue Fragment 92,Lost Scribes,A missing page refers to a chamber beneath roots and stone. Fragment 92.,TRUE
Clue Fragment 93,Hidden Paths,The raven appears wherever old boundaries intersect. Fragment 93.,TRUE
Clue Fragment 94,Ancient Symbols,Three crowns point toward a place no map remembers. Fragment 94.,TRUE
Clue Fragment 95,Ravens,"The key was hidden, not lost. Fragment 95.",TRUE
Clue Fragment 96,Crowns,Moonlight reveals markings unseen by day. Fragment 96.,TRUE
Clue Fragment 97,Keys,The Sentinel's gaze never faced the main gate. Fragment 97.,TRUE
Clue Fragment 98,Moons,Count seven steps beyond the broken arch. Fragment 98.,TRUE
Clue Fragment 99,Sentinels,The Forge concealed secrets unrelated to metal or fire. Fragment 99.,TRUE
Clue Fragment 100,The Forge,What was buried was meant to be found later. Fragment 100.,TRUE
